,Systolic,Diastolic,Label
179,114.0,75.0,1
180,105.0,76.0,1
181,108.0,74.0,1
182,122.0,85.0,3
183,119.0,71.0,1
184,108.0,72.0,1
185,132.0,71.0,3
186,120.0,68.0,2
187,124.0,74.0,2
188,134.0,79.0,3
189,130.0,76.0,3
190,121.0,74.0,2
191,118.0,73.0,1
192,105.0,73.0,1
193,124.0,74.0,2
194,110.0,71.0,1
195,120.0,76.0,2
196,123.0,76.0,2
197,125.0,83.0,3
198,126.0,77.0,2
199,128.0,78.0,2
200,125.0,68.0,2
201,122.0,77.0,2
202,119.0,78.0,1
203,108.0,78.0,1
204,112.0,79.0,1
205,123.0,75.0,2
206,110.0,73.0,1
207,120.0,73.0,2
208,141.0,69.0,4
209,129.0,81.0,3
210,132.0,68.0,3
211,114.0,83.0,3
212,102.0,76.0,1
213,125.0,74.0,2
214,128.0,77.0,2
215,113.0,78.0,1
216,134.0,75.0,3
217,117.0,73.0,1
218,118.0,80.0,3
219,115.0,80.0,3
220,110.0,73.0,1
221,125.0,74.0,2
222,111.0,74.0,1
223,131.0,78.0,3
224,111.0,75.0,1
225,120.0,74.0,2
226,132.0,76.0,3
227,114.0,79.0,1
228,103.0,71.0,1
229,120.0,79.0,2
230,114.0,75.0,1
231,111.0,79.0,1
232,127.0,72.0,2
233,120.0,77.0,2
234,108.0,72.0,1
235,118.0,76.0,1
236,106.0,69.0,1
237,115.0,74.0,1
238,128.0,81.0,3
239,110.0,80.0,3
240,121.0,77.0,2
241,115.0,75.0,1
242,116.0,75.0,1
243,120.0,71.0,2
244,123.0,78.0,2
245,125.0,73.0,2
246,108.0,76.0,1
247,113.0,78.0,1
248,126.0,80.0,3
249,121.0,77.0,2
250,121.0,72.0,2
251,105.0,78.0,1
252,109.0,73.0,1
253,124.0,71.0,2
254,120.0,77.0,2
255,120.0,76.0,2
256,119.0,74.0,1
257,115.0,75.0,1
258,128.0,77.0,2
259,117.0,79.0,1
260,108.0,76.0,1
261,118.0,78.0,1
262,129.0,71.0,2
263,110.0,74.0,1
264,130.0,75.0,3
265,125.0,80.0,3
266,132.0,72.0,3
267,124.0,80.0,3
268,114.0,73.0,1
269,112.0,75.0,1
270,140.0,74.0,4
271,130.0,73.0,3
272,119.0,75.0,1
273,117.0,70.0,1
274,122.0,79.0,2
275,124.0,76.0,2
276,126.0,77.0,2
277,139.0,73.0,3
278,116.0,77.0,1
279,106.0,75.0,1
280,111.0,73.0,1
281,125.0,85.0,3
282,123.0,79.0,2
283,101.0,75.0,1
284,123.0,77.0,2
285,122.0,71.0,2
286,106.0,77.0,1
287,104.0,83.0,3
288,116.0,75.0,1
289,111.0,77.0,1
290,113.0,78.0,1
291,126.0,78.0,2
292,134.0,81.0,3
293,113.0,79.0,1
294,117.0,73.0,1
295,106.0,73.0,1
296,113.0,75.0,1
297,127.0,69.0,2
298,122.0,78.0,2
299,126.0,76.0,2
300,123.0,71.0,2
301,140.0,73.0,4
302,115.0,78.0,1
303,115.0,76.0,1
304,125.0,78.0,2
305,106.0,76.0,1
306,117.0,68.0,1
307,122.0,76.0,2
308,126.0,67.0,2
309,126.0,72.0,2
310,106.0,76.0,1
311,108.0,71.0,1
312,108.0,82.0,3
313,129.0,69.0,2
314,125.0,73.0,2
315,127.0,74.0,2
316,120.0,79.0,2
317,114.0,77.0,1
318,121.0,74.0,2
319,121.0,72.0,2
320,123.0,71.0,2
321,126.0,77.0,2
322,132.0,77.0,3
323,117.0,74.0,1
324,114.0,75.0,1
325,108.0,77.0,1
326,120.0,74.0,2
327,140.0,86.0,4
328,116.0,75.0,1
329,145.0,72.0,4
330,104.0,80.0,3
331,129.0,76.0,2
332,127.0,70.0,2
333,110.0,76.0,1
334,121.0,87.0,3
335,115.0,73.0,1
336,130.0,76.0,3
337,117.0,67.0,1
338,119.0,75.0,1
339,125.0,80.0,3
340,129.0,72.0,2
341,123.0,74.0,2
342,111.0,67.0,1
343,136.0,78.0,3
344,124.0,68.0,2
345,117.0,80.0,3
346,123.0,82.0,3
347,119.0,76.0,1
348,114.0,75.0,1
349,120.0,75.0,2
350,108.0,73.0,1
351,126.0,75.0,2
352,123.0,69.0,2
353,116.0,74.0,1
354,111.0,76.0,1
355,124.0,78.0,2
356,127.0,70.0,2
357,124.0,73.0,2
358,117.0,84.0,3
359,124.0,80.0,3
360,116.0,76.0,1
361,122.0,82.0,3
362,97.0,75.0,1
363,116.0,77.0,1
364,116.0,80.0,3
365,129.0,64.0,2
366,112.0,65.0,1
367,127.0,76.0,2
368,127.0,82.0,3
369,125.0,67.0,2
370,143.0,68.0,4
371,124.0,75.0,2
372,121.0,74.0,2
373,124.0,90.0,4
374,132.0,69.0,3
375,118.0,71.0,1
376,111.0,69.0,1
377,110.0,80.0,3
378,123.0,73.0,2
379,114.0,74.0,1
380,127.0,70.0,2
381,97.0,69.0,1
382,124.0,73.0,2
383,119.0,79.0,1
384,120.0,72.0,2
385,106.0,76.0,1
386,133.0,74.0,3
387,112.0,75.0,1
388,118.0,67.0,1
389,115.0,71.0,1
390,118.0,74.0,1
391,118.0,67.0,1
392,108.0,74.0,1
393,131.0,82.0,3
394,125.0,76.0,2
395,129.0,75.0,2
396,122.0,81.0,3
397,113.0,75.0,1
398,118.0,74.0,1
399,124.0,74.0,2
400,122.0,76.0,2
401,113.0,72.0,1
402,113.0,69.0,1
403,112.0,76.0,1
404,113.0,76.0,1
405,130.0,70.0,3
406,117.0,72.0,1
407,111.0,77.0,1
408,116.0,76.0,1
409,124.0,77.0,2
410,122.0,78.0,2
411,114.0,79.0,1
412,120.0,69.0,2
413,106.0,78.0,1
414,138.0,79.0,3
415,108.0,70.0,1
416,124.0,70.0,2
417,143.0,79.0,4
418,105.0,68.0,1
419,123.0,80.0,3
420,121.0,74.0,2
421,109.0,75.0,1
422,110.0,78.0,1
423,123.0,72.0,2
424,116.0,78.0,1
425,118.0,70.0,1
426,115.0,61.0,1
427,133.0,75.0,3
428,129.0,72.0,2
429,121.0,77.0,2
430,123.0,80.0,3
431,127.0,71.0,2
432,120.0,74.0,2
433,111.0,69.0,1
434,124.0,73.0,2
435,104.0,72.0,1
436,127.0,76.0,2
437,111.0,72.0,1
438,113.0,68.0,1
439,112.0,74.0,1
440,118.0,81.0,3
441,124.0,78.0,2
442,125.0,73.0,2
443,116.0,71.0,1
444,110.0,69.0,1
445,115.0,75.0,1
446,119.0,67.0,1
447,124.0,72.0,2
448,114.0,67.0,1
449,114.0,74.0,1
450,122.0,76.0,2
451,113.0,79.0,1
452,112.0,76.0,1
453,120.0,73.0,2
454,108.0,73.0,1
455,119.0,73.0,1
456,126.0,73.0,2
457,128.0,77.0,2
458,116.0,83.0,3
459,113.0,79.0,1
460,114.0,70.0,1
461,115.0,72.0,1
462,128.0,77.0,2
463,129.0,70.0,2
464,114.0,73.0,1
465,108.0,75.0,1
466,128.0,76.0,2
467,129.0,77.0,2
468,115.0,76.0,1
469,124.0,73.0,2
470,110.0,74.0,1
471,128.0,80.0,3
472,109.0,75.0,1
473,122.0,71.0,2
474,105.0,74.0,1
475,122.0,85.0,3
476,135.0,68.0,3
477,116.0,74.0,1
478,119.0,78.0,1
479,134.0,70.0,3
480,111.0,73.0,1
481,111.0,68.0,1
482,122.0,73.0,2
483,126.0,72.0,2
484,131.0,70.0,3
485,106.0,77.0,1
486,119.0,79.0,1
487,126.0,74.0,2
488,119.0,75.0,1
489,121.0,79.0,2
490,133.0,77.0,3
491,108.0,72.0,1
492,118.0,78.0,1
493,111.0,72.0,1
494,121.0,77.0,2
495,113.0,72.0,1
496,130.0,79.0,3
497,117.0,69.0,1
498,143.0,73.0,4
499,120.0,74.0,2
500,103.0,72.0,1
501,111.0,82.0,3
502,116.0,73.0,1
503,120.0,71.0,2
504,125.0,73.0,2
505,122.0,79.0,2
506,115.0,78.0,1
507,119.0,76.0,1
508,115.0,79.0,1
509,117.0,82.0,3
510,122.0,73.0,2
511,99.0,73.0,1
512,110.0,67.0,1
513,121.0,72.0,2
514,129.0,82.0,3
515,113.0,73.0,1
516,107.0,74.0,1
517,126.0,77.0,2
518,123.0,77.0,2
519,122.0,79.0,2
520,120.0,76.0,2
521,113.0,77.0,1
522,127.0,74.0,2
523,132.0,77.0,3
524,140.0,80.0,4
525,100.0,76.0,1
526,132.0,73.0,3
527,110.0,73.0,1
528,113.0,77.0,1
529,125.0,69.0,2
530,122.0,75.0,2
531,126.0,75.0,2
532,120.0,72.0,2
533,121.0,69.0,2
534,113.0,78.0,1
535,122.0,70.0,2
536,118.0,73.0,1
537,110.0,79.0,1
538,123.0,74.0,2
539,119.0,72.0,1
540,123.0,73.0,2
541,122.0,80.0,3
542,113.0,71.0,1
543,103.0,76.0,1
544,101.0,68.0,1
545,123.0,67.0,2
546,121.0,78.0,2
547,122.0,76.0,2
548,105.0,76.0,1
549,130.0,72.0,3
550,104.0,71.0,1
551,106.0,68.0,1
552,123.0,69.0,2
553,115.0,71.0,1
554,128.0,73.0,2
555,126.0,76.0,2
556,130.0,72.0,3
557,117.0,74.0,1
558,125.0,76.0,2
559,125.0,74.0,2
560,110.0,75.0,1
561,123.0,76.0,2
562,125.0,78.0,2
563,126.0,79.0,2
564,125.0,69.0,2
565,113.0,73.0,1
566,120.0,76.0,2
567,117.0,72.0,1
568,114.0,74.0,1
569,110.0,74.0,1
570,130.0,74.0,3
571,115.0,74.0,1
572,113.0,80.0,3
573,129.0,73.0,2
574,116.0,73.0,1
575,124.0,76.0,2
576,127.0,72.0,2
577,117.0,75.0,1
578,108.0,78.0,1
579,112.0,70.0,1
580,128.0,71.0,2
581,108.0,70.0,1
582,133.0,72.0,3
583,141.0,77.0,4
584,122.0,69.0,2
585,125.0,85.0,3
586,120.0,74.0,2
587,149.0,76.0,4
588,122.0,74.0,2
589,128.0,77.0,2
590,126.0,66.0,2
591,130.0,78.0,3
592,118.0,76.0,1
593,125.0,71.0,2
594,131.0,80.0,3
595,121.0,83.0,3
596,126.0,79.0,2
597,111.0,77.0,1
598,116.0,86.0,3
599,137.0,74.0,3
600,118.0,80.0,3
601,126.0,72.0,2
602,108.0,79.0,1
603,132.0,76.0,3
604,120.0,74.0,2
605,112.0,75.0,1
606,127.0,72.0,2
607,129.0,73.0,2
608,146.0,79.0,4
609,113.0,84.0,3
610,122.0,71.0,2
611,114.0,73.0,1
612,99.0,67.0,1
613,124.0,71.0,2
614,117.0,69.0,1
615,121.0,75.0,2
616,122.0,74.0,2
617,126.0,77.0,2
618,132.0,71.0,3
619,124.0,77.0,2
620,121.0,78.0,2
621,116.0,75.0,1
622,112.0,75.0,1
623,137.0,77.0,3
624,125.0,75.0,2
625,124.0,73.0,2
626,118.0,69.0,1
627,119.0,73.0,1
628,139.0,70.0,3
629,106.0,74.0,1
630,141.0,75.0,4
631,128.0,67.0,2
632,121.0,77.0,2
633,133.0,74.0,3
634,107.0,81.0,3
635,113.0,69.0,1
636,114.0,70.0,1
637,124.0,76.0,2
638,117.0,74.0,1
639,124.0,84.0,3
640,120.0,73.0,2
641,119.0,80.0,3
642,115.0,77.0,1
643,124.0,67.0,2
644,113.0,70.0,1
645,130.0,80.0,3
646,119.0,71.0,1
647,120.0,73.0,2
648,120.0,77.0,2
649,112.0,72.0,1
650,133.0,75.0,3
651,126.0,75.0,2
652,115.0,74.0,1
653,120.0,72.0,2
654,134.0,69.0,3
655,117.0,68.0,1
656,115.0,74.0,1
657,120.0,75.0,2
658,115.0,70.0,1
659,129.0,77.0,2
660,133.0,69.0,3
661,126.0,77.0,2
662,121.0,74.0,2
663,125.0,75.0,2
664,110.0,78.0,1
665,137.0,74.0,3
666,130.0,67.0,3
667,129.0,69.0,2
668,128.0,66.0,2
669,123.0,68.0,2
670,124.0,76.0,2
671,115.0,71.0,1
672,123.0,77.0,2
673,116.0,78.0,1
674,122.0,71.0,2
675,122.0,73.0,2
676,110.0,76.0,1
677,128.0,77.0,2
678,108.0,84.0,3
679,120.0,69.0,2
680,126.0,81.0,3
681,112.0,77.0,1
682,131.0,70.0,3
683,128.0,76.0,2
684,115.0,75.0,1
685,115.0,78.0,1
686,122.0,75.0,2
687,127.0,69.0,2
688,122.0,80.0,3
689,120.0,83.0,3
690,134.0,83.0,3
691,116.0,82.0,3
692,122.0,73.0,2
693,135.0,72.0,3
694,132.0,79.0,3
695,120.0,73.0,2
696,119.0,75.0,1
697,131.0,73.0,3
698,109.0,69.0,1
699,121.0,74.0,2
700,122.0,75.0,2
701,125.0,76.0,2
702,123.0,77.0,2
703,122.0,72.0,2
704,106.0,78.0,1
705,107.0,77.0,1
706,126.0,76.0,2
707,118.0,74.0,1
708,114.0,86.0,3
709,118.0,69.0,1
710,128.0,76.0,2
711,109.0,75.0,1
712,115.0,80.0,3
713,121.0,80.0,3
714,126.0,76.0,2
715,116.0,71.0,1
716,127.0,77.0,2
717,102.0,75.0,1
718,124.0,76.0,2
719,123.0,76.0,2
720,127.0,78.0,2
721,136.0,67.0,3
722,128.0,77.0,2
723,115.0,75.0,1
724,142.0,72.0,4
725,142.0,74.0,4
726,126.0,73.0,2
727,101.0,77.0,1
728,118.0,79.0,1
729,113.0,77.0,1
730,126.0,74.0,2
731,129.0,77.0,2
732,109.0,71.0,1
733,130.0,71.0,3
734,130.0,79.0,3
735,111.0,76.0,1
736,122.0,78.0,2
737,114.0,72.0,1
738,118.0,70.0,1
739,138.0,73.0,3
740,122.0,78.0,2
741,123.0,80.0,3
742,111.0,71.0,1
743,111.0,78.0,1
744,109.0,72.0,1
745,120.0,82.0,3
746,130.0,72.0,3
747,121.0,80.0,3
748,118.0,65.0,1
749,123.0,69.0,2
750,136.0,85.0,3
751,112.0,75.0,1
752,122.0,72.0,2
753,132.0,76.0,3
754,121.0,81.0,3
755,131.0,71.0,3
756,110.0,74.0,1
757,116.0,83.0,3
758,107.0,81.0,3
759,114.0,76.0,1
760,137.0,75.0,3
761,131.0,74.0,3
762,115.0,74.0,1
763,115.0,71.0,1
764,133.0,77.0,3
765,142.0,82.0,4
766,115.0,79.0,1
767,116.0,76.0,1
768,108.0,76.0,1
769,128.0,80.0,3
770,125.0,77.0,2
771,136.0,74.0,3
772,116.0,73.0,1
773,124.0,80.0,3
774,128.0,76.0,2
775,131.0,79.0,3
776,115.0,67.0,1
777,110.0,74.0,1
778,116.0,73.0,1
779,106.0,78.0,1
780,116.0,77.0,1
781,138.0,73.0,3
782,115.0,77.0,1
783,120.0,74.0,2
784,131.0,64.0,3
785,112.0,77.0,1
786,121.0,79.0,2
787,120.0,73.0,2
788,144.0,68.0,4
789,112.0,71.0,1
790,131.0,79.0,3
791,117.0,77.0,1
792,130.0,84.0,3
793,117.0,75.0,1
794,128.0,76.0,2
795,117.0,79.0,1
796,152.0,73.0,4
797,113.0,78.0,1
798,120.0,80.0,3
799,117.0,75.0,1
800,117.0,74.0,1
801,127.0,78.0,2
802,127.0,73.0,2
803,130.0,76.0,3
804,123.0,76.0,2
805,96.0,79.0,1
806,115.0,74.0,1
807,135.0,68.0,3
808,106.0,65.0,1
809,121.0,74.0,2
810,130.0,69.0,3
811,121.0,73.0,2
812,116.0,73.0,1
813,127.0,73.0,2
814,109.0,77.0,1
815,120.0,72.0,2
816,126.0,73.0,2
817,128.0,74.0,2
818,115.0,82.0,3
819,111.0,79.0,1
820,119.0,74.0,1
821,103.0,74.0,1
822,130.0,72.0,3
823,130.0,76.0,3
824,106.0,74.0,1
825,118.0,73.0,1
826,116.0,69.0,1
827,121.0,78.0,2
828,127.0,78.0,2
829,108.0,76.0,1
830,123.0,79.0,2
831,126.0,70.0,2
832,114.0,75.0,1
833,123.0,73.0,2
834,120.0,78.0,2
835,113.0,65.0,1
836,129.0,79.0,2
837,126.0,75.0,2
838,131.0,75.0,3
839,112.0,81.0,3
840,132.0,76.0,3
841,114.0,78.0,1
842,134.0,77.0,3
843,132.0,76.0,3
844,119.0,81.0,3
845,121.0,77.0,2
846,120.0,75.0,2
847,125.0,75.0,2
848,121.0,77.0,2
849,128.0,76.0,2
850,127.0,71.0,2
851,118.0,72.0,1
852,106.0,72.0,1
853,132.0,73.0,3
854,106.0,79.0,1
855,123.0,76.0,2
856,142.0,74.0,4
857,131.0,78.0,3
858,121.0,73.0,2
859,114.0,78.0,1
860,113.0,79.0,1
861,116.0,83.0,3
862,120.0,72.0,2
863,129.0,81.0,3
864,113.0,72.0,1
865,120.0,77.0,2
866,125.0,65.0,2
867,125.0,78.0,2
868,123.0,74.0,2
869,109.0,79.0,1
870,130.0,75.0,3
871,133.0,73.0,3
872,111.0,77.0,1
873,120.0,76.0,2
874,119.0,76.0,1
875,121.0,73.0,2
876,123.0,71.0,2
877,112.0,73.0,1
878,108.0,79.0,1
879,128.0,67.0,2
880,104.0,74.0,1
881,127.0,71.0,2
882,115.0,66.0,1
883,120.0,78.0,2
884,118.0,78.0,1
885,129.0,75.0,2
886,106.0,69.0,1
887,125.0,74.0,2
888,104.0,82.0,3
889,122.0,83.0,3
890,114.0,74.0,1
891,119.0,80.0,3
892,117.0,76.0,1
893,138.0,72.0,3
894,106.0,75.0,1
895,115.0,76.0,1
896,116.0,74.0,1
897,119.0,74.0,1
898,117.0,78.0,1
899,119.0,77.0,1
900,129.0,75.0,2
901,107.0,74.0,1
902,111.0,69.0,1
903,122.0,73.0,2
904,120.0,75.0,2
905,107.0,70.0,1
906,132.0,83.0,3
907,138.0,79.0,3
908,119.0,76.0,1
909,115.0,74.0,1
910,117.0,73.0,1
911,135.0,80.0,3
912,104.0,78.0,1
913,127.0,75.0,2
914,107.0,70.0,1
915,121.0,71.0,2
916,117.0,72.0,1
917,108.0,71.0,1
918,122.0,73.0,2
919,107.0,79.0,1
920,128.0,77.0,2
921,123.0,74.0,2
922,106.0,76.0,1
923,119.0,72.0,1
924,115.0,77.0,1
925,111.0,76.0,1
926,112.0,78.0,1
927,125.0,74.0,2
928,129.0,78.0,2
929,112.0,77.0,1
930,113.0,74.0,1
931,119.0,79.0,1
932,113.0,74.0,1
933,109.0,76.0,1
934,112.0,73.0,1
935,114.0,73.0,1
936,137.0,70.0,3
937,118.0,71.0,1
938,123.0,76.0,2
939,123.0,73.0,2
940,112.0,76.0,1
941,113.0,73.0,1
942,106.0,85.0,3
943,116.0,77.0,1
944,119.0,76.0,1
945,128.0,74.0,2
946,101.0,79.0,1
947,99.0,73.0,1
948,112.0,69.0,1
949,116.0,75.0,1
950,126.0,77.0,2
951,116.0,77.0,1
952,125.0,77.0,2
953,113.0,77.0,1
954,112.0,75.0,1
955,122.0,65.0,2
956,120.0,72.0,2
957,117.0,78.0,1
958,133.0,70.0,3
959,118.0,76.0,1
960,118.0,74.0,1
961,116.0,81.0,3
962,121.0,80.0,3
963,117.0,76.0,1
964,121.0,72.0,2
965,125.0,71.0,2
966,106.0,79.0,1
967,111.0,74.0,1
968,127.0,71.0,2
969,120.0,76.0,2
970,119.0,80.0,3
971,128.0,71.0,2
972,138.0,74.0,3
973,110.0,76.0,1
974,115.0,76.0,1
975,132.0,70.0,3
976,118.0,80.0,3
977,117.0,80.0,3
978,100.0,72.0,1
979,122.0,76.0,2
980,115.0,75.0,1
981,107.0,77.0,1
982,127.0,78.0,2
983,118.0,75.0,1
984,133.0,73.0,3
985,130.0,73.0,3
986,132.0,83.0,3
987,106.0,72.0,1
988,109.0,73.0,1
989,124.0,69.0,2
990,111.0,79.0,1
991,130.0,67.0,3
992,123.0,74.0,2
993,114.0,80.0,3
994,132.0,81.0,3
995,113.0,75.0,1
996,115.0,77.0,1
997,123.0,73.0,2
998,119.0,76.0,1
999,117.0,74.0,1
1000,113.0,74.0,1
1001,124.0,77.0,2
1002,120.0,73.0,2
1003,129.0,74.0,2
1004,115.0,78.0,1
1005,115.0,73.0,1
1006,119.0,77.0,1
1007,102.0,80.0,3
1008,130.0,79.0,3
1009,131.0,70.0,3
1010,110.0,76.0,1
1011,114.0,71.0,1
1012,125.0,77.0,2
1013,119.0,81.0,3
1014,144.0,86.0,4
1015,116.0,77.0,1
1016,127.0,71.0,2
1017,115.0,75.0,1
1018,128.0,77.0,2
1019,127.0,79.0,2
1020,127.0,67.0,2
1021,117.0,71.0,1
1022,110.0,77.0,1
1023,125.0,88.0,3
1024,120.0,69.0,2
1025,128.0,79.0,2
1026,122.0,72.0,2
1027,115.0,80.0,3
1028,125.0,72.0,2
1029,115.0,79.0,1
1030,123.0,70.0,2
1031,118.0,73.0,1
1032,122.0,69.0,2
1033,130.0,77.0,3
1034,112.0,78.0,1
1035,129.0,72.0,2
1036,119.0,67.0,1
1037,107.0,74.0,1
1038,125.0,74.0,2
1039,118.0,78.0,1
1040,134.0,78.0,3
1041,118.0,73.0,1
1042,93.0,77.0,1
1043,130.0,83.0,3
1044,119.0,87.0,3
1045,119.0,76.0,1
1046,124.0,76.0,2
1047,105.0,75.0,1
1048,114.0,71.0,1
1049,120.0,72.0,2
1050,118.0,79.0,1
1051,117.0,80.0,3
1052,125.0,77.0,2
1053,108.0,79.0,1
1054,124.0,83.0,3
1055,124.0,72.0,2
1056,118.0,75.0,1
1057,113.0,71.0,1
1058,134.0,76.0,3
1059,104.0,68.0,1
1060,130.0,75.0,3
1061,120.0,76.0,2
1062,125.0,78.0,2
1063,128.0,73.0,2
1064,118.0,74.0,1
1065,118.0,81.0,3
1066,116.0,77.0,1
1067,117.0,85.0,3
1068,108.0,82.0,3
1069,125.0,65.0,2
1070,131.0,76.0,3
1071,133.0,81.0,3
1072,111.0,76.0,1
1073,126.0,71.0,2
1074,119.0,72.0,1
1075,118.0,72.0,1
1076,117.0,76.0,1
1077,121.0,67.0,2
1078,124.0,72.0,2
1079,113.0,75.0,1
1080,120.0,78.0,2
1081,113.0,77.0,1
1082,113.0,71.0,1
1083,113.0,82.0,3
1084,98.0,85.0,3
1085,106.0,78.0,1
1086,128.0,79.0,2
1087,121.0,76.0,2
1088,139.0,71.0,3
1089,116.0,76.0,1
1090,119.0,74.0,1
1091,117.0,74.0,1
1092,123.0,78.0,2
1093,96.0,76.0,1
1094,132.0,75.0,3
1095,118.0,71.0,1
1096,129.0,75.0,2
1097,123.0,73.0,2
1098,123.0,76.0,2
1099,130.0,78.0,3
1100,104.0,80.0,3
1101,105.0,75.0,1
1102,118.0,72.0,1
1103,122.0,71.0,2
1104,123.0,83.0,3
1105,123.0,68.0,2
1106,113.0,71.0,1
1107,115.0,83.0,3
1108,124.0,77.0,2
1109,106.0,73.0,1
1110,115.0,81.0,3
1111,124.0,76.0,2
1112,135.0,70.0,3
1113,124.0,82.0,3
1114,109.0,75.0,1
1115,116.0,73.0,1
1116,132.0,73.0,3
1117,123.0,79.0,2
1118,108.0,77.0,1
1119,133.0,71.0,3
1120,115.0,71.0,1
1121,111.0,76.0,1
1122,118.0,76.0,1
1123,122.0,78.0,2
1124,119.0,66.0,1
1125,126.0,83.0,3
1126,118.0,69.0,1
1127,100.0,70.0,1
1128,128.0,72.0,2
1129,112.0,77.0,1
1130,127.0,74.0,2
1131,124.0,75.0,2
1132,118.0,75.0,1
1133,119.0,81.0,3
1134,139.0,75.0,3
1135,129.0,74.0,2
1136,123.0,79.0,2
1137,112.0,74.0,1
1138,114.0,72.0,1
1139,132.0,74.0,3
1140,113.0,74.0,1
1141,108.0,76.0,1
1142,116.0,73.0,1
1143,121.0,76.0,2
1144,126.0,78.0,2
1145,115.0,76.0,1
1146,115.0,71.0,1
1147,109.0,69.0,1
1148,124.0,75.0,2
1149,117.0,79.0,1
1150,128.0,75.0,2
